time,pHs0,pT02,pT24,trajectory
2025-06-19 00:23:10,0.006102071334331189,11.04847721444254,5.765084725670655,2025_IWOOS_id3
2025-06-19 02:23:07,0.006207218899822568,10.493673392560444,4.90133910273329,2025_IWOOS_id3
2025-06-19 04:23:09,0.008054212630196796,4.0461324442973305,3.5145545948944577,2025_IWOOS_id3
2025-06-19 06:23:07,0.010367371251888389,4.565186275806097,3.652817449318553,2025_IWOOS_id3
2025-06-19 08:23:16,0.14044285324817835,4.06632126274058,3.706899658181236,2025_IWOOS_id3
2025-06-19 10:23:12,0.1018764275709262,4.710617683779906,3.8568614043293885,2025_IWOOS_id3
2025-06-19 12:23:18,0.10264012582721603,5.826057070934546,4.810347323884193,2025_IWOOS_id3
2025-06-19 14:23:14,0.09894445645607663,5.928845472283235,4.7360000472440795,2025_IWOOS_id3
2025-06-19 16:23:13,0.1197474826335144,6.410827918980735,5.127581633670826,2025_IWOOS_id3
2025-06-19 18:23:14,0.11192788133172975,5.75149344788391,4.5578065954292635,2025_IWOOS_id3
2025-06-19 20:23:13,0.13528891779751434,6.12279057401451,4.54850831007862,2025_IWOOS_id3
2025-06-19 22:23:11,0.15453364250118257,7.376977457031011,5.3047159848964425,2025_IWOOS_id3
2025-06-20 00:23:28,0.1456125323026741,7.28032194839331,5.373008880953627,2025_IWOOS_id3
2025-06-20 02:23:13,0.22777846560873324,8.370893501283987,6.39368688161235,2025_IWOOS_id3
2025-06-20 04:23:12,0.19705731610341126,7.799367396753778,5.579059386347119,2025_IWOOS_id3
2025-06-20 06:23:09,0.23853005726319143,8.360172682844341,6.499327531885859,2025_IWOOS_id3
2025-06-20 08:23:10,0.23981722168646774,8.363364180831766,6.195680862268107,2025_IWOOS_id3
2025-06-20 10:23:10,0.24770755252897136,8.368261507350011,6.714984908681344,2025_IWOOS_id3
2025-06-20 12:23:31,0.19294145029926374,8.152964824411814,6.860482643389514,2025_IWOOS_id3
2025-06-20 14:23:12,0.215190743296959,8.072135904369762,6.084864344547957,2025_IWOOS_id3
2025-06-20 16:23:33,0.1953888546492148,7.881874035730346,6.852099312412912,2025_IWOOS_id3
2025-06-20 18:23:13,0.18243350084981516,7.7988710532085666,6.617227953655771,2025_IWOOS_id3
2025-06-20 20:23:38,0.17211356701463038,7.705401658676322,6.666562289396643,2025_IWOOS_id3
2025-06-20 22:23:08,0.18793733779668578,8.47202030152907,7.341652989934066,2025_IWOOS_id3
2025-06-21 00:23:12,0.16768969820076737,7.901423567741116,7.240010087255826,2025_IWOOS_id3
2025-06-21 02:23:31,0.384197559076555,11.62345231024964,7.842732477522141,2025_IWOOS_id3
2025-06-21 04:23:02,0.13901295003240546,6.182454629446593,4.448600490229054,2025_IWOOS_id3
2025-06-21 06:23:10,0.16324231137491038,6.903464450499545,4.959975486032738,2025_IWOOS_id3
2025-06-21 08:23:09,0.167642024267712,6.924202389974615,5.070694255804121,2025_IWOOS_id3
2025-06-21 10:23:10,0.20951470630525101,6.991207631749716,5.306730261195208,2025_IWOOS_id3
2025-06-21 12:23:37,0.3421036071349269,10.301974919729423,5.880972794364105,2025_IWOOS_id3
2025-06-21 14:23:07,0.230388301202942,6.9526265861362955,4.978793135027283,2025_IWOOS_id3
2025-06-21 16:23:07,0.23165650396119303,8.04531463478351,6.582288283031479,2025_IWOOS_id3
2025-06-21 18:23:08,0.2555705720677631,8.160457717166683,5.6992368581032675,2025_IWOOS_id3
2025-06-21 20:23:31,0.2301181837776962,7.934731231104866,6.113362772501645,2025_IWOOS_id3
2025-06-21 22:23:06,0.21969793646343883,7.793348714946636,6.336186915970781,2025_IWOOS_id3
2025-06-22 00:23:08,0.28281972284853263,8.017228651724283,6.747487314241494,2025_IWOOS_id3
2025-06-22 02:23:03,0.2470850532550625,7.883314793571335,6.563271092555173,2025_IWOOS_id3
2025-06-22 04:23:02,0.2221363881004978,7.996528897963409,7.036715107851215,2025_IWOOS_id3
2025-06-22 06:23:10,0.19254434363505338,8.387765135069499,7.481188503507226,2025_IWOOS_id3
2025-06-22 08:23:06,0.16352346604497953,8.334266442945347,7.51754315564461,2025_IWOOS_id3
2025-06-22 10:23:10,0.12964333081386425,8.123621065947267,7.345025018464788,2025_IWOOS_id3
2025-06-22 12:23:09,0.15871299652712356,8.13678769762301,7.389609685837551,2025_IWOOS_id3
